N,P,K,temperature,humidity,ph,rainfall,total_npk,ratio_n_p,ratio_n_k,ratio_p_k,temp_humidity,log_rainfall,label
-0.5839186028237033,2.5967697471571958,3.0975909081708877,-0.39008044105296064,1.0001834992335001,-0.40521594985452414,0.2407379442609719,2.7651435638979254,-0.5803350041835408,-1.0145055991935514,-0.8275289104109861,0.5177642443957232,0.4756030029086541,0
-0.5839186028237033,2.263217938358966,2.959350483025319,-0.6272459083783809,0.9536057021559701,-1.0137715347342846,0.32821518643246245,2.5398633821706533,-0.5733660358435055,-1.0111873987273592,-0.8539162074113938,0.3235122707530993,0.5490119600091967,0
-0.6381060127115908,2.566446855448266,3.0185963795162767,-0.38506382074943973,1.0072502047996346,-0.6683095760996737,0.035249578319274485,2.6775346043373194,-0.5853805486598369,-1.0192395424217287,-0.8204121371520331,0.5264934735270018,0.2906427545294402,0
-0.4755437830479285,2.050957696396456,3.058093643843582,-0.6240425666903686,1.0459290627346105,-1.1160359779360722,0.20706035929578284,2.5648945134736834,-0.5554222829359813,-1.0005074618486165,-0.89602804030459,0.3916645748485044,0.4465391850075846,0
-1.098698996758634,2.657415530575056,3.0185963795162767,-0.6893002851415789,0.8758983602005498,-0.10786089989074125,0.01961151153462123,2.502316685216108,-0.6338618373809733,-1.0753544817080063,-0.8079425771683011,0.22712251297003358,0.27577251246263174,0
-0.8006682423752531,2.475478180321476,2.959350483025319,-0.3467337213351493,1.0530106491895759,-0.9104416408633266,0.028400255193456795,2.5273478165191383,-0.6009656749310597,-1.0379945354986984,-0.8243797244196271,0.5873132395317708,0.2841445661348419,0
-1.098698996758634,2.172249263232176,2.9198532186980133,-0.6525715553425359,0.8335594379705896,-0.9549743111929215,0.17481123587020192,2.2394898065342908,-0.6303333104589977,-1.0745124207943508,-0.8611926879152241,0.221243204829746,0.4182696643350034,0
-0.6922934225994782,2.718061313992916,2.959350483025319,-0.553889268564621,0.9001779919993294,-0.5714493517930616,0.07992534218037989,2.6775346043373194,-0.5934757802262557,-1.0245909671130289,-0.7906237438576078,0.33395328592897616,0.33247249478526364,0
-0.4755437830479285,2.566446855448266,2.959350483025319,-0.656186640202178,0.8629666863054567,-0.31933506606882545,0.3508582112590031,2.715081301291865,-0.5684810141488831,-0.9977838303416897,-0.8117212317088699,0.23975745064956547,0.5675442566140733,0
-1.2341675214783525,2.505801072030406,2.900104586534361,-0.6439297308683261,0.9183725312588061,-0.26529775458727456,0.0783695626709588,2.3020676347918663,-0.6471384063947213,-1.0913510481108843,-0.8113317396255072,0.28723796104443733,0.33103174565217625,0
-0.9903241769828591,2.263217938358966,3.0975909081708877,-0.5942075982826236,1.0381187485106256,-0.3142963601900107,0.22887975391824028,2.4397388569585323,-0.6189155624550351,-1.063052670053851,-0.8723584992305536,0.40651404502904087,0.46542181796207227,0
-0.5026374879918722,2.657415530575056,3.058093643843582,-0.8605924587251911,0.9597296391927796,-0.8376380404723319,0.10195832691118055,2.8026902608524704,-0.5732152809090303,-1.0037758196569453,-0.8137166591311831,0.17102307620040078,0.35275582253988824,0
-0.5839186028237033,2.748384205701846,3.077842276007235,-0.6287283548546773,0.9436692102378408,-0.8646474104093358,0.2846229557143897,2.815205826503986,-0.5831507489673958,-1.0140455125742895,-0.8042750595259839,0.3154210752401671,0.512797586877695,0
